Country Name,Country Code,Series Name,Series Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"Egypt, Arab Rep.",EGY,Government Effectiveness - Governance score (0-100),GOV_WGI_GE.SC,41.966637,41.7477907,40.9901078,36.4689862,38.8182807,41.1970738,42.7666301,43.4288001,43.4484327,49.0336069,46.7836577,46.9635849,48.5516052,50.5676507
El Salvador,SLV,Government Effectiveness - Governance score (0-100),GOV_WGI_GE.SC,47.2970654,45.7816782,46.2276637,46.8970397,49.0592944,45.4063483,45.0266455,44.5116454,44.241356,44.6381812,48.5651694,46.5089234,43.813815,49.4975432
Equatorial Guinea,GNQ,Government Effectiveness - Governance score (0-100),GOV_WGI_GE.SC,25.727322,25.6566489,25.6600749,25.0317997,32.3349173,31.9442558,32.4024852,31.795089,32.1944439,31.7102042,30.6835561,31.0877623,28.479032,28.9342709
Eritrea,ERI,Government Effectiveness - Governance score (0-100),GOV_WGI_GE.SC,28.182674,26.1843576,25.5503076,24.2759893,27.0537425,26.5645563,26.7053932,26.5704128,23.6565514,22.8977096,24.1661908,24.2228177,25.2176826,24.5029613
Estonia,EST,Government Effectiveness - Governance score (0-100),GOV_WGI_GE.SC,71.5420317,71.8721426,71.9079021,72.0046205,73.9696507,71.4535945,72.0227229,72.1112768,75.9403274,74.5831698,77.0103901,77.9927973,77.7596927,75.9934621
Eswatini,SWZ,Government Effectiveness - Governance score (0-100),GOV_WGI_GE.SC,46.3681273,44.451888,47.7003071,47.3037114,46.0111935,45.7013588,46.5114453,45.7502683,42.5740624,41.6919027,39.2160684,37.2765527,39.0505843,37.3840626
Ethiopia,ETH,Government Effectiveness - Governance score (0-100),GOV_WGI_GE.SC,42.0603455,41.2894135,43.1496229,41.2145793,42.5630007,41.038014,42.0637249,41.0715491,40.9791219,41.1258037,40.6134168,38.6928804,37.7281615,37.9556857
Fiji,FJI,Government Effectiveness - Governance score (0-100),GOV_WGI_GE.SC,40.7602717,41.1238457,40.0909871,40.0967076,49.4107879,49.3681316,49.3829596,49.3877739,59.7482167,73.0032012,64.0830762,65.55242,61.1111102,61.1284251
Finland,FIN,Government Effectiveness - Governance score (0-100),GOV_WGI_GE.SC,93.0859943,94.8579686,95.538659,94.7555239,91.5426504,88.7404502,89.0248715,92.3694646,93.3360502,93.1277483,92.8616841,93.2627909,88.2297958,86.1002615
France,FRA,Government Effectiveness - Governance score (0-100),GOV_WGI_GE.SC,79.3586094,79.8974363,80.7574861,80.0063772,79.6111153,79.7147617,78.9518133,78.5973333,80.8697481,80.1591081,80.3248197,81.2128456,79.8021859,77.6243079
French Guiana,GUF,Government Effectiveness - Governance score (0-100),GOV_WGI_GE.SC,80.1666038,80.1505508,80.1545932,80.15911,80.3417069,80.3080357,80.319741,80.3235423,80.3444076,80.3647461,80.306661,80.3411294,76.3436353,76.3589474
French Polynesia,PYF,Government Effectiveness - Governance score (0-100),GOV_WGI_GE.SC,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gabon,GAB,Government Effectiveness - Governance score (0-100),GOV_WGI_GE.SC,40.0367344,35.8753603,32.764772,35.0920871,38.0919377,37.6832127,38.4397523,35.2562918,36.1832563,36.0168291,35.5236452,39.8944703,39.783793,39.983277
"Gambia, The",GMB,Government Effectiveness - Governance score (0-100),GOV_WGI_GE.SC,38.9163914,39.1520957,40.125823,39.4821657,40.8210829,39.0213638,39.4588134,41.1892495,41.5729578,40.9155263,39.9186412,41.3619999,41.5699401,42.2339048
Georgia,GEO,Government Effectiveness - Governance score (0-100),GOV_WGI_GE.SC,55.4596125,61.900975,63.2747144,62.0561499,61.6395054,60.4770505,62.9627954,63.6579094,61.1018024,61.2834309,57.3322836,60.1202955,59.943003,62.7658644
Germany,DEU,Government Effectiveness - Governance score (0-100),GOV_WGI_GE.SC,81.2566005,83.3429828,85.5302347,86.5440284,89.5580615,89.4963851,88.3965749,88.091681,86.3768371,88.0532013,85.9752286,86.8568108,85.9365,81.7001069
Ghana,GHA,Government Effectiveness - Governance score (0-100),GOV_WGI_GE.SC,52.0582273,51.4601817,51.7715972,49.6173125,49.6272154,49.6710927,51.6859949,52.0523183,51.0707258,50.2772134,51.1389276,50.4750116,50.051445,50.9948047
Greece,GRC,Government Effectiveness - Governance score (0-100),GOV_WGI_GE.SC,57.259701,56.315898,55.7531725,59.0507519,56.0998457,54.8741394,52.9718104,56.4412613,57.9494834,60.2647801,62.7489676,62.4764927,62.2992157,56.3540919
